name	type	sub_type	entry	summary
F interpreted relative to phase	hypothesis			
No two valued Fs in an F-equilibrium	hypothesis			
One case per phase	hypothesis			
Phase-boundedness of φ-agreement	hypothesis			
SI-ST-must	hypothesis			
ADC	hypothesis			
ECP-Subj	hypothesis			
ECP-T'	hypothesis			
NoEPPItalian	hypothesis			
NoECPItalian	hypothesis			
OSinItalian	hypothesis			
No special feature involved in Predicate Fronting	hypothesis			
No special feature involved in Topicalization	hypothesis			
No special feature involved in scrambling	hypothesis			
XPYP over XPYP ok	hypothesis			
Stability of {XP, YP}	hypothesis			
No Phi in Japanese	hypothesis			
No phi-agreement requirement in Japanese	hypothesis			
multiple subject in Japanese	hypothesis			
subjectless clause in Japanese	hypothesis			
nonnominal subjects in Japanese	hypothesis			
Japanese scrambling	hypothesis			
No obligatory A-movement in Japanese	hypothesis			
No ECP effect on Japanese subjects	hypothesis			
No about aboutness	hypothesis			
major subjects D-linked	hypothesis			
topic phrases D-linked	hypothesis			
no Subj	hypothesis			
no Top	hypothesis			
no multiple focus-fronting	hypothesis			
topic iterable	hypothesis			
No special feature involved in focus-movement	hypothesis			
No Foc	hypothesis			
(non-)obligatory SAI	hypothesis			
no movement of indirect questions	hypothesis			
Vacuous movement hypothesis effect	hypothesis			
empty C no movement	hypothesis			
comp-trace effect	hypothesis			
no interarboreal movement	hypothesis			
interarboreal movement banned by minimal computation	hypothesis			
No Select	hypothesis			
Merge Condition	hypothesis			
proExpl	hypothesis			
V-uPhi	hypothesis			
Weakness of Root	hypothesis			
Weakness of T	hypothesis			
T with q	hypothesis			
No null C	hypothesis			
RR	hypothesis			
no HIT	hypothesis			
no IN	hypothesis			
Double-o constraint	hypothesis			
label-Merge	hypothesis			
pair-Merge	hypothesis			
self-Merge	hypothesis			
Local Economy	hypothesis			
Last Resort	hypothesis			
Hypothesis W-1	hypothesis			
Hypothesis W-2	hypothesis			
Hypothesis W-3	hypothesis			
Hypothesis W-4	hypothesis			
v* is v-Voice*	hypothesis			
Move as last resort	hypothesis			
T (lex)	hypothesis			
v* (lex)	hypothesis			
P (lex)	hypothesis			
Poss(essor) (lex)	hypothesis			
D (lex)	hypothesis			
Universal/Unique Labeling Condition (UULC)	hypothesis			
NF4-5	hypothesis			
NF4-8	hypothesis			
NF4-12	hypothesis			
NF4-13	hypothesis			
NF4-17	hypothesis			
NF4-19	hypothesis			
NF4-20	hypothesis			
NF4-51	hypothesis			
NF4-51f	hypothesis			
NF5-12	hypothesis			
NF5-91	hypothesis			
Focus Criterion	hypothesis			
Wh-Criterion	hypothesis			
NF5-248a	hypothesis			
NF5-248b	hypothesis			
NF5-n14ic	hypothesis			
NF5-246d	hypothesis			
Rizzi Maximality Principle	hypothesis			
NF5-272	hypothesis			
NF5-273	hypothesis			
NF5-274	hypothesis			
startt-1	hypothesis			
Recursive system has Merge	hypothesis			
RkEM	hypothesis			
severing arguments from verbs	hypothesis			
cable Q	hypothesis			
TOgp	hypothesis			
Agree	hypothesis			
AgreeUF	hypothesis			
UF violates FI	hypothesis			
Agree is obligatory	hypothesis			
Agree-c-command	hypothesis			
minimality of Agree	hypothesis			
valuation by Agree	hypothesis			
wh-uq	hypothesis			
case-lambda	hypothesis			
Subject Criterion	hypothesis			
Criteria	hypothesis			
aboutness requires D-linking	hypothesis			
fine structure of left periphery	hypothesis			
Phrasal Sister Condition	hypothesis			
*{XP, YP}	hypothesis			
CED_simplified	hypothesis			
Linear Correspondence Axiom (LCA)	hypothesis			
Licensing and Identification of pro	hypothesis			
Grammar (I-language) as prior to expressions (E-language)	hypothesis			
Competence vs. performance distinction	hypothesis			
Universal Grammar (UG)	hypothesis			
UG Reduction	hypothesis			
Occam's razor	hypothesis			
subject-orientation of zibun	hypothesis			
Non-modularity of Language	hypothesis			
Cognitive Linguistics Nonscience	hypothesis			
generative grammar natural science	hypothesis			
non-constituent deletion	hypothesis			
non-isomorphic sluicing	hypothesis			
EPP	hypothesis			
Linguistics as a Natural Science	hypothesis			
GrammarXiv rocks	hypothesis			
Tense Alternation Generalization	hypothesis			
Left Branch Constraint	hypothesis			
nonconfigurational analysis (Binding)	hypothesis			
scope island	hypothesis			
VP-internal subject hypothesis	hypothesis			
no embedding constraint (Gapping)	hypothesis			
Logical Form (LF)	hypothesis			
distributive operator	hypothesis			
respective operator	hypothesis			
sum-based analysis of universals	hypothesis			
across-the-board binding	hypothesis			
i-within-i constraint	hypothesis			
sideways/sideward movement	hypothesis			
syntactic account of islands	hypothesis			
KLM overgeneration (coordination)	hypothesis			
strict-sloppy identity (hypothesis)	hypothesis			
lexical integrity	hypothesis			
scope parallelism	hypothesis			
phase	hypothesis			
Phase Impenetrability Condition (PIC)	hypothesis			
Condition on Extraction Domains (CED)	hypothesis			
Empty Category Principle (ECP)	hypothesis			
hypothetical reasoning	hypothesis			
higher-order modal	hypothesis			
function composition	hypothesis			
discontinuity connective	hypothesis			
Binding Condition B	hypothesis			
syntactic identity condition (ellipsis)	hypothesis			
A-bar-movement	hypothesis			
continuation	hypothesis			
case syncretism	hypothesis			
slash category	hypothesis			
prosodic lambda binding	hypothesis			
verb raising	hypothesis			
argument raising	hypothesis			
experimental evidence	hypothesis			
corpus evidence	hypothesis			
information structure	hypothesis			
contrastive remnant condition	hypothesis			
dependent type	hypothesis			
Skolem term	hypothesis			
direct analysis	hypothesis			
direct compositionality	hypothesis			
object shift	hypothesis			
focus movement	hypothesis			
type-raising	hypothesis			
autonomy of syntax	hypothesis			
prosodic deletion	hypothesis			
Geach rule	hypothesis			
wh-movement	hypothesis			
Sentential Subject Constraint (SSC)	hypothesis			
discourse deletion	hypothesis			
alternative-based semantics	hypothesis			
pragmatic strengthening	hypothesis			
scale structure	hypothesis			
multi-dimensional semantics	hypothesis			
economy of standard	hypothesis			
crisp judgment	hypothesis			
standard of comparison	hypothesis			
compositional semantics	hypothesis			
parametric variation	hypothesis			
pos morpheme	hypothesis			
impoverished AdjP	hypothesis			
cross-categorial semantics	hypothesis			
scope theory (for focus particle)	hypothesis			
derived entailment	hypothesis			
maximality operator	hypothesis			
assertoric inertia	hypothesis			
proof-theoretic semantics	hypothesis			
type-shift	hypothesis			
phenominator	hypothesis			
symmetricist analysis (of 'only')	hypothesis			
comparison of deviation	hypothesis			
Greenbergian universal	hypothesis			
polarity marking	hypothesis			
constructional change	hypothesis			
universal conceptual structure	hypothesis			
OHE10-ellipsis-in-inquisitive-semantics-23	hypothesis			
OHE10-ellipsis-in-inquisitive-semantics-24	hypothesis			
OHE10-ellipsis-in-inquisitive-semantics-26	hypothesis			
OHE10-ellipsis-in-inquisitive-semantics-27	hypothesis			
OHE10-ellipsis-in-inquisitive-semantics-34	hypothesis			
OHE10-ellipsis-in-inquisitive-semantics-43	hypothesis			
indexing theory	hypothesis			
choice function	hypothesis			
FAME	hypothesis			
DP hypothesis	hypothesis			
Empty Noun	hypothesis			
NP-Ellipsis	hypothesis			
KNGeneralization	hypothesis			
Binarity Constraint on Merge (BiCoM)	hypothesis			
null indefinite	hypothesis			
parallelism constraint for ellipsis binding	hypothesis			
island evasion approach	hypothesis			
Uniformity Assumption	hypothesis			
Recoverability of the Descriptive Content in Nominal Subdeletion	hypothesis			
Subj-head	hypothesis			
auxiliary flip	hypothesis			
argument composition	hypothesis			
sound symbolism	hypothesis			
Minimality Condition	hypothesis			
NPI movement	hypothesis			
right deslocation	hypothesis			
Unaccusativity	hypothesis			
clausemate condition (of NPI)	hypothesis			
NEG-movement	hypothesis			
Linear Crossing Constraint (LCC)	hypothesis			
movement to internal theta position	hypothesis			
phasehood	hypothesis			
theta role assignment	hypothesis			
Direct Object Restriction	hypothesis			
pro Analysis of Argument Ellipsis	hypothesis			
island repair approach	hypothesis			
specifier-head agreement approach to ellipsis	hypothesis			
Split CP Hypothesis	hypothesis			
Fukui's (1984) hypothesis	hypothesis			
Ueda's (1986) hypothesis	hypothesis			
Ueda's (1986) hypothesis 2	hypothesis			
Katada's (1988, 1991) hypothesis	hypothesis			
Direct Discourse Analysis of zibun	hypothesis			
Iida's (1996) hypothesis	hypothesis			
Aikawa's (1993) hypothesis	hypothesis			
locative inversion as vP-preposing	hypothesis			
pseudocleft analysis of sluicing	hypothesis			
isomorphic sluicing	hypothesis			
cleft analysis of sluicing	hypothesis			
predicative copular clause analysis of sluicing	hypothesis			
HNPS analysis of multiple sluicing	hypothesis			
biclausal analysis of Japanese causative	hypothesis			
adjunct as argument	hypothesis			
local context update	hypothesis			
excluded middle presupposition	hypothesis			
entail-framework	hypothesis			
存在もどき	hypothesis			
head movement	hypothesis			
Ternary Aalysis (resultative)	hypothesis			
Hybrid Small Clause Analysis (resultative)	hypothesis			
Binary Small Clause Analysis (resultative)	hypothesis			
Mutual M-command	hypothesis			
c-command NPI licensing of sika	hypothesis			
Two Types of dake	hypothesis			
Optional V-to-I Movement of the Potential Modal	hypothesis			
locality condition on sloppy reading in VP-ellipsis	hypothesis			
Muller's (1996) generalization	hypothesis			
verb-identity condition on verb-stranding VP-ellipsis	hypothesis			
PRO analysis of small clause subjects	hypothesis			
Semantic Reconstruction	hypothesis			
subject of -er	hypothesis			
agent/source-kara-subject	hypothesis			
agent/group-de-subject	hypothesis			
zibun-binding via theta-prominence	hypothesis			
c-commanding requirement of zibun binding	hypothesis			
A-movement leaves traces	hypothesis			
finite raising	hypothesis			
relative tense (hypothesis)	hypothesis			
speaker-orientedness (of CI)	hypothesis			
tensedness of infinitive	hypothesis			
Japanese -to 'that' is a complementizer	hypothesis			
Japanese -to 'that' and Spanish que 'that' have similar distribution	hypothesis			
Japanese causative sentences are bi-clausal	hypothesis			
Japanese allows non-null obligatorily controlled subjects	hypothesis			
Japanese indirect passive sentences are bi-clausal	hypothesis			
Japanese direct passive sentences are mono-clausal	hypothesis			
c-command NPI licensing of indeterminate pronoun + mo	hypothesis			
direct analysis of comparative	hypothesis			
trichotomy of zibun	hypothesis			
Direct vs. Indirect Discourse = Public vs. Private Expressions	hypothesis			
Participant Empathy Hierarchy	hypothesis			
Principle of self-dissociation	hypothesis			
Principleof self-association	hypothesis			
Empathy Constraint on Zibun	hypothesis			
logophoric zibun	hypothesis			
empathic zibun	hypothesis			
Oshima's 2004 Revised Subjecthood Condition on Zibun	hypothesis			
free indirect discourse	hypothesis			
first-person zibun	hypothesis			
second-person zibun	hypothesis			
arbitrary zibun	hypothesis			
successive cyclicity	hypothesis			
The Null-Foc Filter	hypothesis			
long-distance agreement	hypothesis			
scope theory of even	hypothesis			
Sluicing-COMP generalization	hypothesis			
Holmberg's generalization	hypothesis			
mirrorofmind	hypothesis			
transfer	hypothesis			
c-command	hypothesis			
containment hypothesis	hypothesis			
PC-Hypothesis	hypothesis			
Politeness theory	hypothesis			
Futagi-diss-generalization	hypothesis			
Minimal Sentential Answer Strategy (Japanese)	hypothesis			
bounding property	hypothesis			
antecedent=transferred	hypothesis			
string-vacuous V-raising in Japanese?	hypothesis			
semantic approach to NPI licensing	hypothesis			
syntactic approach to NPI licensing	hypothesis			
c-command NPI licensing	hypothesis			
exhaustification-based NPI licensing	hypothesis			
entailment-based NPI licensing	hypothesis			
scalar model of NPI licensing	hypothesis			
veridicality-based NPI licensing	hypothesis			
relevance-theoretic NPI licensing	hypothesis			
online-money	hypothesis			
constraint-creation	hypothesis			
above-middle-age-linguists	hypothesis			
Universality of Constraints	hypothesis			
Violability of Constraints	hypothesis			
Optimality of Output	hypothesis			
Constraint ranking	hypothesis			
Fallacy of Perfection	hypothesis			
Markedness Constraints	hypothesis			
Faithfulness Constraints	hypothesis			
positional faithfulness	hypothesis			
Grammar does not count	hypothesis			
Freedom of Analysis	hypothesis			
Markedness is not part of phonology	hypothesis			
phonetic content invisible to phonology	hypothesis			
Kuroda1988: Proposition J-1	hypothesis			
Kuroda1988: Proposition J-2	hypothesis			
Kuroda1988: Proposition J-3	hypothesis			
Kuroda1988: Proposition J-4	hypothesis			
Kuroda1988: Proposition J-5	hypothesis			
Kuroda1988: Proposition J-6	hypothesis			
Kuroda1988: Proposition J-7	hypothesis			
Kuroda1988: Proposition J-8	hypothesis			
Kuroda1988: Proposition J-9	hypothesis			
Kuroda1988: Proposition J-10	hypothesis			
Kuroda1988: Proposition J-11	hypothesis			
Kuroda1988: Proposition J-12	hypothesis			
Kuroda1988: Proposition J-13	hypothesis			
Kuroda1988: Proposition J-14	hypothesis			
Kuroda1988: Proposition J-15	hypothesis			
Kuroda1988: Proposition J-16	hypothesis			
Kuroda1988: Proposition J-17	hypothesis			
Kuroda1988: Corollary J-3-1	hypothesis			
Kuroda1988: Corollary J-4-1	hypothesis			
Kuroda1988: Corollary J-9-1	hypothesis			
Kuroda1988: Corollary J-11-1	hypothesis			
Kuroda1988: Corollary J-11-2	hypothesis			
Kuroda1988: Corollary J-11-3	hypothesis			
Kuroda1988: Corollary J-11-4	hypothesis			
Kuroda1988: Corollary J-11-5	hypothesis			
Kuroda1988: Corollary J-11-6	hypothesis			
Kuroda1988: Corollary J-12-1	hypothesis			
Kuroda1988: Corollary J-14-1	hypothesis			
Kuroda1988: Corollary J-16-1	hypothesis			
Kuroda1988: Assumption U-1	hypothesis			
Kuroda1988: Assumption U-2	hypothesis			
Kuroda1988: Assumption U-3	hypothesis			
Kuroda1988: Assumption U-4	hypothesis			
Kuroda1988: Assumption U-5	hypothesis			
Kuroda1988: Assumption U-5 (revised)	hypothesis			
Kuroda1988: Assumption U-6	hypothesis			
Kuroda1988: Proposition E-1	hypothesis			
Kuroda1988: Proposition E-2	hypothesis			
Kuroda1988: Proposition E-3	hypothesis			
Kuroda1988: Proposition E-4	hypothesis			
Kuroda1988: Proposition E-5	hypothesis			
Kuroda1988: Proposition E-6	hypothesis			
Kuroda1988: Proposition E-7	hypothesis			
Kuroda1988: Proposition E-S	hypothesis			
Kuroda1988: Proposition E-9	hypothesis			
Kuroda1988: Proposition E-9'	hypothesis			
Kuroda1988: Corollary E-5-1	hypothesis			
Kuroda1988: Corollary E-5-2	hypothesis			
Kuroda1988: Corollary E-5-3	hypothesis			
Kuroda1988: Corollary E-5-4	hypothesis			
Kuroda1988: Corollary E-5-5	hypothesis			
Kuroda1988: Corollary E-7-1	hypothesis			
poverty of stimulus	hypothesis			
processing-based analysis of islands	hypothesis			
pragmatic account of islands	hypothesis			
nonsyntactic account of islands	hypothesis			
underspecification semantics	hypothesis			
Subject Condition	hypothesis			
Pecking Order of Deletion Principle	hypothesis			
Active and Passive Discourse-Rule Violations	hypothesis			
Minimal Search	hypothesis			
structure dependency	hypothesis			
Japanese Case-marking	hypothesis			
Lack of agreement in Japanese	hypothesis			
Case marking (Kuroda 1978)	hypothesis			
Canonical Sentence Patterns	hypothesis			
Counter Equi NP Deletion	hypothesis			
Subject ni-Raising	hypothesis			
Langendoen's Nonleft-Peripheral NP Constraint(NLPNPC)	hypothesis			
A-movement	hypothesis			
labeling algorithm	hypothesis			
Lexical Array (LA)	hypothesis			
Subarray (SA)	hypothesis			
Merge over Move	hypothesis			
Double Peak Analysis	hypothesis			
multi-dominance	hypothesis			
Feature-Splitting Internal Merge	hypothesis			
feature inheritance	hypothesis			
Ban on Improper Movement	hypothesis			
A'-Opacity Effect	hypothesis			
defective tense	hypothesis			
argument against defective tense	hypothesis			
fuzzy set theory	hypothesis			
supervaluation	hypothesis			
prototype	hypothesis			
compositionality	hypothesis			
syntactic transformation	hypothesis			
proof normalization	hypothesis			
decidability	hypothesis			
formal semantics	hypothesis			
generative power	hypothesis			
context-freeness of natural language	hypothesis			
lambda calculus	hypothesis			
agreement parameter	hypothesis			
PRO Theorem	hypothesis			
A/A-bar distinction	hypothesis			
Straight Equi NP deletion	hypothesis			
tokoro phrase as headless relative clause	hypothesis			
tokoro phrase as modifier	hypothesis			
Subjectivization	hypothesis			
Predicate Agglutination	hypothesis			
Linear Case Marking	hypothesis			
Equi NP deletion	hypothesis			
Subject ni Raising	hypothesis			
Canonical Sentence Pattern Filter	hypothesis			
NP-movement	hypothesis			
Surface Subject Constraint	hypothesis			
Surface Object Constraint	hypothesis			
Full Interpretation	hypothesis			
IM as a phase-level operation	hypothesis			
Phasehood Inheritance	hypothesis			
unvalued features	hypothesis			
phaselevel memory	hypothesis			
External Pair-Merge	hypothesis			
multiple dominance	hypothesis			
FormSequence	hypothesis			
FormCopy	hypothesis			
Markovian Gap	hypothesis			
Minimal Yield	hypothesis			
Determinacy	hypothesis			
Stability	hypothesis			
Strict Binarity	hypothesis			
Recursion	hypothesis			
Resource Restriction	hypothesis			
MERGE (Chomsky's Version)	hypothesis			
Parallel Merge	hypothesis			
Extensions of Merge	hypothesis			
Late Merge	hypothesis			
Countercyclic Movement	hypothesis			
Case marking (Kuroda1978)	hypothesis			
NP movement (in Japanese)	hypothesis			
Subjacency	hypothesis			
barrier	hypothesis			
X-bar theory	hypothesis			
head parameter	hypothesis			
phrase structure grammar	hypothesis			
Final-over-Final Constraint	hypothesis			
Parameter Value Preservation (PVP)	hypothesis			
Economy Principle	hypothesis			
functional categories	hypothesis			
Lexical Parametrization Hypothesis	hypothesis			
Functional Parametrization Hypothesis	hypothesis			
evaluation measure	hypothesis			
lexicalist hypothesis	hypothesis			
transformation	hypothesis			
Structure-preserving Hypothesis	hypothesis			
Merge (original)	hypothesis			
island	hypothesis			
move-alpha	hypothesis			
ProTPinE	hypothesis			
mmNeg	hypothesis			
syntactic approach to neg raising	hypothesis			
semantic approach to neg raising	hypothesis			
extraction out of ellipsis (hypothesis)	hypothesis			
extraction out of so-anaphora impossible	hypothesis			
sakamoto2022_prediction	hypothesis			
neg raising inference available out of clausal so	hypothesis			
mmNeg-yagiEtAl2022_11	hypothesis			
Affix Hopping	hypothesis			
A-over-A principle	hypothesis			
Relativized Minimality	hypothesis			
uniqueness parameter	hypothesis			
Tensed-S Condition	hypothesis			
Specified Subject Condition	hypothesis			
Proper Binding	hypothesis			
theta-criterion	hypothesis			
that-trace filter	hypothesis			
Relativized A-over-A Principle	hypothesis			
Projection Principle	hypothesis			
S-structure Effect	hypothesis			
V-to-I raising	hypothesis			
Anti-c-command Requirement	hypothesis			
OCT	hypothesis			
Kuroda1983-21	hypothesis			
Kuroda1978-case-marking	hypothesis			
Kuroda1978-Canonical-Sentence-Patterns	hypothesis			
exceptionalSegment	hypothesis			
The Minimal Sentential Answer Strategy	hypothesis			
Ban Against Partial Discourse Deletion	hypothesis			
格(国語学)	hypothesis			
主語格	hypothesis			
述語格	hypothesis			
入子型構造(時枝誠記)	hypothesis			
陳述(国語学)	hypothesis			
詞(時枝誠記)	hypothesis			
辞(時枝誠記)	hypothesis			
零記号(時枝誠記)	hypothesis			
文(時枝誠記)	hypothesis			
deep subject	hypothesis			
logical subject	hypothesis			
Sensitivity to CED Islands	hypothesis			
Sensitivity to A'-movement	hypothesis			
Chain Composition	hypothesis			
sluice	hypothesis			
pre-sluice	hypothesis			
OHE10-ellipsis-in-inquisitive-semantics-21	hypothesis			
OHE10-ellipsis-in-inquisitive-semantics-22	hypothesis			
epistemological priority	hypothesis			
Kuroda1988: Corollary E-8-1	hypothesis			
Kuroda1988: Corollary E-9-1	hypothesis			
Kuroda1988: Corollary E-9'-1	hypothesis			
Kuroda1988: Principle of The Configurational Projection	hypothesis			
Kuroda1988: Principle of X-Agreement	hypothesis			
Kuroda1988: Principle of Forced Agreement Parameter	hypothesis			
Kuroda1988: Principle of Morphological Licensing	hypothesis			
Kuroda1988: Principle Against Double Case-Marking	hypothesis			
Kuroda1988: Principle of The Uniqueness of Agreement	hypothesis			
UGfunction	hypothesis			
NoUnambiguousExpression	hypothesis			
EveryoneInteretedInLg	hypothesis			
AnimalMachineLanguage	hypothesis			
head-stranding ellipsis	hypothesis			
adjuncts not elidable	hypothesis			
Universality	hypothesis			
Learnability	hypothesis			
Evolvability	hypothesis			
GenuineExplanation	hypothesis			
Box Theory	hypothesis			
no successive-cyclic movement	hypothesis			
Crick's Astonishing Hypothesis	hypothesis			
Adjunct ellipsis is possible	hypothesis			
Gapping (hypothesis)	hypothesis			
adjunct-inclusive interpretation with null adjuncts	hypothesis			
Experiencer PPs as adjuncts	hypothesis			
Experiencer PPs as arguments	hypothesis			
Experiencer PPs as subjects	hypothesis			
Extraction out of null adjuncts possible	hypothesis			
Null adjuncts obey the parallelism constraint	hypothesis			
pragmatic enrichment for null adjuncts	hypothesis			
polarity ellipsis	hypothesis			
Language=communication	hypothesis			
yabai accurate	hypothesis			
discourse-based approach	hypothesis			
Conjunct Revealing Rule (CCG)	hypothesis			
direct coordination analysis (of NCC)	hypothesis			
expressivism	hypothesis			
contextualism	hypothesis			
relativism	hypothesis			
definiteness island	hypothesis			
C-T_declined	hypothesis			
C-T_lost	hypothesis			
gerunds_project_TP	hypothesis			
dative_reanalyzed_nominative	hypothesis			
accusative_default	hypothesis			
determiners_established	hypothesis			
VP-shell_developed	hypothesis			
possessives_in_Spec_DP	hypothesis			
possessives_reanalyzed_Ds	hypothesis			
pronouns_unified_D	hypothesis			
X⁰-status_not	hypothesis			
possessive_-'s_D	hypothesis			
es_changed_determiner	hypothesis			
genitive_degrammaticalized	hypothesis			
complementizers_block_verb_movement	hypothesis			
V-to-T_lost_16-17	hypothesis			
agrP_lost	hypothesis			
verbs_move_different_heads	hypothesis			
V-to-T_lost_15	hypothesis			
ECM_subjects_move_Spec_TP	hypothesis			
to_changed_to_T	hypothesis			
verbs_ceased_move	hypothesis			
to_null_Case	hypothesis			
Spec-Head_possible	hypothesis			
Agr_weak	hypothesis			
not_XP	hypothesis			
new_clausal_established	hypothesis			
wh_complementizers.	hypothesis			
that_reanalyzed_complementizer	hypothesis			
that-clauses_complements	hypothesis			
complementizers_emerged	hypothesis			
verbs_move_discourse_reasons_OE	hypothesis			
left_periphery_formed	hypothesis			
functional_projections_emerged	hypothesis			
CP_project	hypothesis			
V_self-sustainable	hypothesis			
verbs_move_discourse_reasons_PIE	hypothesis			
licensing_participles_Spec-Head	hypothesis			
Pred_introduced	hypothesis			
subject-participle_agreement_lost	hypothesis			
T_emerged_bare_infinitives	hypothesis			
verbs_ceased_move_AGR	hypothesis			
subjects_move_to_Spec_TP	hypothesis			
overt_verb_raising_lost	hypothesis			
overt_movement_verbs_lost	hypothesis			
verb_movement_reduced	hypothesis			
word_order_fixed_ME-EModE	hypothesis			
changes_in_parameter_settings	hypothesis			
functional_categories_established	hypothesis			
morphological_cases_declined	hypothesis			
D_introduced	hypothesis			
clause_more_articulated	hypothesis			
head_parameter_VP_PP_head-initial	hypothesis			
prepositions_assign_inherent	hypothesis			
relative_clauses_changed	hypothesis			
auxiliaries_merged_T	hypothesis			
value_directionality_changed_in_the_12th_century._	hypothesis			
prepositions_assign_structural	hypothesis			
different_structures_in_competition	hypothesis			
verb_movement_more_restricted	hypothesis			
left_periphery_simplified	hypothesis			
and_reanalysis	hypothesis			
V-to-Agr_lost	hypothesis			
premodals_reanalyzed	hypothesis			
modals_lost_properties_main_verbs	hypothesis			
adjectival_passive_reanalyzed_verbally	hypothesis			
get_merge_higher	hypothesis			
V-to-T_lost_17	hypothesis			
Neanderthals had language	hypothesis			
Language appeared among Homo sapiens	hypothesis			
1-Merge/concatenation	hypothesis			
Deliberate burials require language-based communication	hypothesis			
Ceremonial cave constructions require language-based communication	hypothesis			
Japanese tits have core-Merge	hypothesis			
Only homo sapiens has Merge	hypothesis			
Ban on adjunction to arguments	hypothesis			
No subject scrambling in Japanese	hypothesis			
Late Insertion after Ellipsis Hypothesis	hypothesis			
Ø-Insertion of Ellipsis	hypothesis			
Vocabulary Insertion Competition Hypothesis	hypothesis			
IM/EM equally costless	hypothesis			
Focus-Exclusive Deletion (FED)	hypothesis			
Focus-Inclusive Deletion (FID)	hypothesis			
FID and FED equally natural	hypothesis			
Kimura’s (2013b) In-situ analysis of Swiping	hypothesis			
Kimura's (2021) in-situ analysis of why-stripping	hypothesis			
